title,label
"[SALAH] Video “Detik-detik Tsunami di Mentawai 24 April 2023”",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Pj Bupati Landak",fake
"[SALAH] Jusuf Kalla Meminta Anies Menggandeng Ganjar di Pilpres 2024",fake
"[SALAH] Prabowo Subianto mendapatkan gelar “Jenderal Kehormatan” dari Presiden Korea Selatan",fake
"[SALAH] Ganjar Lari Pagi di GBK Hanya Ditemani Beberapa Orang",fake
"[SALAH] Surat Undangan Tes Calon Karyawan PT Angkasa Pura II",fake
"[SALAH] Ganjar Pranowo mengatakan “Kalau mau maju, ya, rakyatnya harus miskin”",fake
"[SALAH] Air Garam Hangat Dapat Menyembuhkan Sakit Gigi dalam 5 Menit",fake
"[SALAH] Akun Facebook “Bupati Sintang”",fake
"[SALAH] Foto “Kampanye Anies Baswedan di Pekanbaru Sepi Peminat”",fake
"[SALAH] Surya Paloh Menjadi Tersangka dalam Kasus Korupsi BTS Kominfo",fake
"[SALAH] Jusuf Kalla Meminta Jokowi Mundur karena Telah Gagal Mengurus Negara",fake
"[SALAH] Foto “Gibran Rakabuming Raka Menghadiri Acara Pernikahan Kaesang Pangarep Mengenakan Kaos Oblong”",fake
"[SALAH] Sri Mulyani Mengatakan Bahwa Gaji PNS dan Pensiunan Naik 20% pada Tahun 2024",fake
"[SALAH] Video “Full Pidato Asli Anies Baswedan di Depan Kader PKS”",fake
"[SALAH] Lowongan Kerja Bank Syariah Indonesia untuk Lulusan SMA/SMK Sederajat",fake
"[SALAH] Megawati Ancam Hancurkan Jakarta Jika Anies Menang Pilpres 2024",fake
"[SALAH] Video “Banjir Bandang Menerjang Kota Makkah”",fake
"[SALAH] Jokowi Mengatakan Bahwa Tidak Ada yang Bisa Menghentikan Dirinya untuk Menjabat 3 Periode",fake
"[SALAH] Menag Yaqut Cholil Qoumas Meminta Agar Pengeras Suara Masjid Dikurangi Menjadi 50 Desibel",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Wakil Bupati Sintang",fake
"[SALAH] Anies Baswedan Mengatakan “Saya akan hapus semua angsuran jika saya jadi presiden”",fake
"[SALAH] Foto “Ribuan Warga Solo Menggeruduk Kantor Ganjar Pranowo”",fake
"[SALAH] Surat Panggilan Tes Wawancara Mengatasnamakan PT Pertamina Training & Consulting",fake
"[SALAH] Video “Gibran Rakabuming Raka Mengamuk dan Membanting Botol di Depan Kader PDIP”",fake
"[SALAH] Akun WhatsApp “BANK BJB KC SUKABUMI”",fake
"[SALAH] Foto “Anies Baswedan Dicium oleh Pria Bule”",fake
"[SALAH] Video “Bupati Lebak Iti Octavia Jayabaya Keluar dari Partai Demokrat dan Bergabung dengan Partai NasDem”",fake
"[SALAH] Akun Facebook “Gannjar Praanowo” Memberikan Bantuan",fake
"[SALAH] Mahfud MD Menyatakan Bahwa Anies Baswedan Terlibat dalam Kasus Korupsi Formula E",fake
"[SALAH] Video “Detik-detik Presiden Jokowi Ditampar oleh Warga”",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Plt. Bupati Buleleng",fake
"[SALAH] Foto “Spanduk Tolak Anies Baswedan di Solo”",fake
"[SALAH] Surat Pemberitahuan Paket dari J&T Express",fake
"[SALAH] Video “Massa Membakar Rumah Kader PDIP di Solo”",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Kepala Dinas Kesehatan Kabupaten Sintang",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Kereta Api Indonesia",fake
"[SALAH] Foto “Anies Baswedan Bersama Pimpinan FPI Rizieq Shihab”",fake
"[SALAH] Pendaftaran Beasiswa BCA 2023 Dibuka hingga 31 Desember 2023",fake
"[SALAH] Video “Ribuan Ular Keluar dari Tanah di Arab Saudi”",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Menjadikan Indonesia sebagai Negara Khilafah",fake
"[SALAH] Foto “Baliho Anies Baswedan Ditolak Warga Yogyakarta”",fake
"[SALAH] Surat Panggilan Tes Calon Karyawan PT Kimia Farma Apotek",fake
"[SALAH] Video “Ganjar Pranowo Dilempari Batu oleh Warga”",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Bupati Sintang",fake
"[SALAH] Lowongan Kerja PT Freeport Indonesia dengan Gaji Rp15 Juta per Bulan",fake
"[SALAH] Foto “Anies Baswedan Berfoto dengan Bendera Bintang Kejora”",fake
"[SALAH] Video “Banjir Lahar Dingin Gunung Semeru Menerjang Lumajang”",fake
"[SALAH] Pendaftaran Kartu Prakerja Gelombang 50 Dibuka",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan membangun Indonesia tanpa hutang”",fake
"[SALAH] Foto “Rumah Ganjar Pranowo di Purbalingga Megah dan Mewah”",fake
"[SALAH] Surat Undangan Tes Interview PT Indofood Sukses Makmur Tbk",fake
"[SALAH] Video “Jokowi Marah-marah di Depan Para Menteri”",fake
"[SALAH] Akun Facebook “Dinkes Kota Cirebon”",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Tidak Akan Melanjutkan Program-program Jokowi",fake
"[SALAH] Foto “Massa Aksi 411 Membawa Bendera HTI”",fake
"[SALAH] Pendaftaran Bantuan UMKM 2023 Sebesar Rp2,4 Juta",fake
"[SALAH] Video “Kebakaran di Gedung K-Link Tower Jakarta”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan menaikkan harga BBM jika terpilih menjadi presiden”",fake
"[SALAH] Foto “Anies Baswedan Bertemu dengan Petinggi Google”",fake
"[SALAH] Surat Panggilan Tes Calon Karyawan PT Unilever Indonesia Tbk",fake
"[SALAH] Video “Detik-detik Kapal Selam Titan Meledak”",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Dinas Kesehatan Kabupaten Kubu Raya",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Membubarkan Densus 88",fake
"[SALAH] Foto “Spanduk Dukungan untuk Ganjar Pranowo di Acara Harlah PPP”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Angkasa Pura I",fake
"[SALAH] Video “Ribuan Ikan Naik ke Daratan di Pantai Ambon”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan menghapus subsidi pupuk untuk petani”",fake
"[SALAH] Foto “Anies Baswedan Salat di Gereja”",fake
"[SALAH] Surat Undangan Tes Interview PT Gudang Garam Tbk",fake
"[SALAH] Video “Kebakaran di TPA Sarimukti Bandung”",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Bupati Sanggau",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Menggratiskan Pajak Kendaraan Bermotor",fake
"[SALAH] Foto “Baliho Ganjar Pranowo Dicopot oleh Satpol PP”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Pertamina (Persero)",fake
"[SALAH] Video “Gempa Bumi Mengguncang Turki”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan melegalkan pernikahan sesama jenis”",fake
"[SALAH] Foto “Anies Baswedan Memakai Baju Adat Papua dengan Bendera Bintang Kejora”",fake
"[SALAH] Surat Panggilan Tes Calon Karyawan PT PLN (Persero)",fake
"[SALAH] Video “Banjir di Jeddah Arab Saudi”",fake
"[SALAH] Akun Facebook “Ganjar Pranowo Fans Club” Memberikan Hadiah",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Menjadikan Jakarta sebagai Provinsi Syariah",fake
"[SALAH] Foto “Ganjar Pranowo Tidur di Lantai Kereta Api”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT KAI Commuter",fake
"[SALAH] Video “Letusan Gunung Anak Krakatau”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan membubarkan KPK jika terpilih menjadi presiden”",fake
"[SALAH] Foto “Anies Baswedan Didukung oleh Kelompok Khilafah”",fake
"[SALAH] Surat Undangan Tes Interview PT Waskita Karya (Persero) Tbk",fake
"[SALAH] Video “Tornado di Rancaekek Bandung”",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Wali Kota Pontianak",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Menghapus Program Kartu Indonesia Sehat",fake
"[SALAH] Foto “Relawan Ganjar Pranowo Membagi-bagikan Sembako”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Telkom Indonesia (Persero) Tbk",fake
"[SALAH] Video “Hujan Es di Jakarta”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan menjual BUMN kepada pihak asing”",fake
"[SALAH] Foto “Anies Baswedan Berpose dengan Jari Metal”",fake
"[SALAH] Surat Panggilan Tes Calon Karyawan PT Adaro Energy Tbk",fake
"[SALAH] Video “Banjir Bandang di Garut”",fake
"[SALAH] Akun Facebook “Pemprov DKI Jakarta” Mengadakan Giveaway",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Memindahkan Ibu Kota Negara ke Jonggol",fake
"[SALAH] Foto “Ganjar Pranowo Berkunjung ke Rumah Warga Miskin”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Bank Mandiri (Persero) Tbk",fake
"[SALAH] Video “Angin Puting Beliung di Yogyakarta”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan menaikkan pajak untuk orang kaya”",fake
"[SALAH] Foto “Anies Baswedan Bersalaman dengan Raja Salman”",fake
"[SALAH] Surat Undangan Tes Interview PT Astra International Tbk",fake
"[SALAH] Video “Kebakaran di Pasar Tanah Abang”",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Gubernur Kalimantan Barat",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Membangun 1000 Masjid di Seluruh Indonesia",fake
"[SALAH] Foto “Ganjar Pranowo Makan di Warteg”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Bank Rakyat Indonesia (Persero) Tbk",fake
"[SALAH] Video “Longsor di Cianjur”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan menghapus utang negara dalam waktu 5 tahun”",fake
"[SALAH] Foto “Anies Baswedan Menjadi Imam Salat di Hagia Sophia”",fake
"[SALAH] Surat Panggilan Tes Calon Karyawan PT Bukit Asam Tbk",fake
"[SALAH] Video “Gempa Bumi di Lombok”",fake
"[SALAH] Akun Facebook “Anies Baswedan Fans” Mengadakan Undian Berhadiah",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Mengubah Pancasila",fake
"[SALAH] Foto “Ganjar Pranowo Blusukan di Pasar”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Bank Negara Indonesia (Persero) Tbk",fake
"[SALAH] Video “Banjir di Jakarta”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan memberikan gaji Rp20 juta per bulan untuk setiap kepala keluarga”",fake
"[SALAH] Foto “Anies Baswedan Berkuda di Pantai”",fake
"[SALAH] Surat Undangan Tes Interview PT Sampoerna Tbk",fake
"[SALAH] Video “Kebakaran di Kilang Minyak Balongan”",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Bupati Mempawah",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Menjadikan Indonesia sebagai Negara Maju dalam 10 Tahun",fake
"[SALAH] Foto “Ganjar Pranowo Naik Sepeda Onthel”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Indosat Tbk",fake
"[SALAH] Video “Tsunami di Palu”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan membangun 100 bandara baru di seluruh Indonesia”",fake
"[SALAH] Foto “Anies Baswedan Membaca Puisi di Atas Panggung”",fake
"[SALAH] Surat Panggilan Tes Calon Karyawan PT Timah Tbk",fake
"[SALAH] Video “Letusan Gunung Merapi”",fake
"[SALAH] Akun Facebook “Jokowi Fans Club” Mengadakan Kuis Berhadiah",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Menggratiskan Biaya Pendidikan hingga Perguruan Tinggi",fake
"[SALAH] Foto “Ganjar Pranowo Menanam Padi di Sawah”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT XL Axiata Tbk",fake
"[SALAH] Video “Banjir di Semarang”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan membangun 1000 rumah sakit baru di seluruh Indonesia”",fake
"[SALAH] Foto “Anies Baswedan Bermain Catur dengan Warga”",fake
"[SALAH] Surat Undangan Tes Interview PT HM Sampoerna Tbk.",fake
"[SALAH] Video “Kebakaran di Gedung Cyber 1”",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Bupati Ketapang",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Memberikan Bantuan Rp1 Miliar per Desa",fake
"[SALAH] Foto “Ganjar Pranowo Menjadi Sopir Angkot”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Smartfren Telecom Tbk",fake
"[SALAH] Video “Longsor di Bogor”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan membangun 1000 universitas baru di seluruh Indonesia”",fake
"[SALAH] Foto “Anies Baswedan Menjadi Dirigen Orkestra”",fake
"[SALAH] Surat Panggilan Tes Calon Karyawan PT Aneka Tambang Tbk",fake
"[SALAH] Video “Gempa Bumi di Malang”",fake
"[SALAH] Akun Facebook “Prabowo Subianto Fans” Mengadakan Lomba Foto",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Menjadikan Bahasa Arab sebagai Bahasa Kedua di Indonesia",fake
"[SALAH] Foto “Ganjar Pranowo Mengajar di Sekolah Dasar”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Indofood CBP Sukses Makmur Tbk",fake
"[SALAH] Video “Banjir di Surabaya”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan memberikan modal usaha Rp100 juta untuk setiap UMKM”",fake
"[SALAH] Foto “Anies Baswedan Menjadi Juru Parkir”",fake
"[SALAH] Surat Undangan Tes Interview PT Mayora Indah Tbk",fake
"[SALAH] Video “Kebakaran di Pasar Senen”",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Bupati Kapuas Hulu",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Membangun Sirkuit Formula 1 di Setiap Provinsi",fake
"[SALAH] Foto “Ganjar Pranowo Menjadi Tukang Ojek”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Kalbe Farma Tbk",fake
"[SALAH] Video “Angin Puting Beliung di Bekasi”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan memberikan beasiswa penuh untuk 1 juta mahasiswa ke luar negeri”",fake
"[SALAH] Foto “Anies Baswedan Menjadi Nelayan”",fake
"[SALAH] Surat Panggilan Tes Calon Karyawan PT United Tractors Tbk",fake
"[SALAH] Video “Gempa Bumi di Padang”",fake
"[SALAH] Akun Facebook “Sandiaga Uno Fans” Mengadakan Seminar Gratis",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Menjadikan Indonesia sebagai Pusat Mode Muslim Dunia",fake
"[SALAH] Foto “Ganjar Pranowo Menjadi Pedagang Asongan”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Semen Indonesia (Persero) Tbk",fake
"[SALAH] Video “Banjir di Bandung”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan membangun 1000 pusat kebudayaan baru di seluruh Indonesia”",fake
"[SALAH] Foto “Anies Baswedan Menjadi Petani”",fake
"[SALAH] Surat Undangan Tes Interview PT Charoen Pokphand Indonesia Tbk",fake
"[SALAH] Video “Kebakaran di Hutan Amazon”",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Bupati Sekadau",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Menjadikan Indonesia sebagai Juara Piala Dunia 2034",fake
"[SALAH] Foto “Ganjar Pranowo Menjadi Tukang Sol Sepatu”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Japfa Comfeed Indonesia Tbk",fake
"[SALAH] Video “Longsor di Tawangmangu”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan membangun 1000 perpustakaan baru di seluruh Indonesia”",fake
"[SALAH] Foto “Anies Baswedan Menjadi Pemulung”",fake
"[SALAH] Surat Panggilan Tes Calon Karyawan PT Adhi Karya (Persero) Tbk",fake
"[SALAH] Video “Gempa Bumi di Aceh”",fake
"[SALAH] Akun Facebook “Erick Thohir Fans” Mengadakan Workshop Kewirausahaan",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Menjadikan Indonesia sebagai Negara dengan Pendapatan Per Kapita Tertinggi di Dunia",fake
"[SALAH] Foto “Ganjar Pranowo Menjadi Pengamen Jalanan”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Wijaya Karya (Persero) Tbk",fake
"[SALAH] Video “Banjir di Medan”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan membangun 1000 lapangan kerja baru setiap hari”",fake
"[SALAH] Foto “Anies Baswedan Menjadi Penjual Gorengan”",fake
"[SALAH] Surat Undangan Tes Interview PT Indocement Tunggal Prakarsa Tbk",fake
"[SALAH] Video “Kebakaran di Australia”",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Bupati Melawi",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Menjadikan Indonesia sebagai Negara Paling Bahagia di Dunia",fake
"[SALAH] Foto “Ganjar Pranowo Menjadi Kuli Bangunan”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT PP (Persero) Tbk",fake
"[SALAH] Video “Angin Puting Beliung di Depok”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan membangun 1000 jembatan baru di seluruh Indonesia”",fake
"[SALAH] Foto “Anies Baswedan Menjadi Tukang Cukur”",fake
"[SALAH] Surat Panggilan Tes Calon Karyawan PT Jasa Marga (Persero) Tbk",fake
"[SALAH] Video “Gempa Bumi di Jepang”",fake
"[SALAH] Akun Facebook “Ridwan Kamil Fans” Mengadakan Lomba Desain",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Menjadikan Indonesia sebagai Negara Terbersih di Dunia",fake
"[SALAH] Foto “Ganjar Pranowo Menjadi Penjaga Toilet Umum”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Garuda Indonesia (Persero) Tbk",fake
"[SALAH] Video “Banjir di Makassar”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan membangun 1000 pasar tradisional baru di seluruh Indonesia”",fake
"[SALAH] Foto “Anies Baswedan Menjadi Tukang Tambal Ban”",fake
"[SALAH] Surat Undangan Tes Interview PT Barito Pacific Tbk",fake
"[SALAH] Video “Kebakaran di California”",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Bupati Sintang",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Menjadikan Indonesia sebagai Negara dengan Tingkat Korupsi Terendah di Dunia",fake
"[SALAH] Foto “Ganjar Pranowo Menjadi Tukang Parkir”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Medco Energi Internasional Tbk",fake
"[SALAH] Video “Longsor di Sukabumi”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan membangun 1000 desa wisata baru di seluruh Indonesia”",fake
"[SALAH] Foto “Anies Baswedan Menjadi Penjual Koran”",fake
"[SALAH] Surat Panggilan Tes Calon Karyawan PT Surya Citra Media Tbk",fake
"[SALAH] Video “Gempa Bumi di Filipina”",fake
"[SALAH] Akun Facebook “Tri Rismaharini Fans” Mengadakan Aksi Sosial",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Menjadikan Indonesia sebagai Negara dengan Sistem Pendidikan Terbaik di Dunia",fake
"[SALAH] Foto “Ganjar Pranowo Menjadi Petugas Kebersihan”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Elang Mahkota Teknologi Tbk",fake
"[SALAH] Video “Banjir di Palembang”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan membangun 1000 pusat olahraga baru di seluruh Indonesia”",fake
"[SALAH] Foto “Anies Baswedan Menjadi Kondektur Bus”",fake
"[SALAH] Surat Undangan Tes Interview PT Mitra Adiperkasa Tbk",fake
"[SALAH] Video “Kebakaran di Yunani”",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Bupati Bengkayang",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Menjadikan Indonesia sebagai Negara dengan Angka Harapan Hidup Tertinggi di Dunia",fake
"[SALAH] Foto “Ganjar Pranowo Menjadi Satpam”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Ace Hardware Indonesia Tbk",fake
"[SALAH] Video “Angin Puting Beliung di Tangerang”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan membangun 1000 taman kota baru di seluruh Indonesia”",fake
"[SALAH] Foto “Anies Baswedan Menjadi Masinis Kereta Api”",fake
"[SALAH] Surat Panggilan Tes Calon Karyawan PT Sumber Alfaria Trijaya Tbk",fake
"[SALAH] Video “Gempa Bumi di Meksiko”",fake
"[SALAH] Akun Facebook “Bima Arya Fans” Mengadakan Diskusi Publik",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Menjadikan Indonesia sebagai Negara dengan Pertumbuhan Ekonomi Tertinggi di Dunia",fake
"[SALAH] Foto “Ganjar Pranowo Menjadi Penjual Tiket Bioskop”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Midi Utama Indonesia Tbk",fake
"[SALAH] Video “Banjir di Manado”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan membangun 1000 pelabuhan baru di seluruh Indonesia”",fake
"[SALAH] Foto “Anies Baswedan Menjadi Pilot Pesawat”",fake
"[SALAH] Surat Undangan Tes Interview PT Ramayana Lestari Sentosa Tbk",fake
"[SALAH] Video “Kebakaran di Turki”",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Bupati Landak",fake
"[SALAH] Anies Baswedan Mengatakan Bahwa Dirinya Akan Menjadikan Indonesia sebagai Negara Paling Inovatif di Dunia",fake
"[SALAH] Foto “Ganjar Pranowo Menjadi Pramugara Kereta Api”",fake
"[SALAH] Lowongan Kerja Mengatasnamakan PT Matahari Department Store Tbk",fake
"[SALAH] Video “Longsor di Sumedang”",fake
"[SALAH] Ganjar Pranowo Mengatakan “Saya akan membangun 1000 sentra industri kreatif baru di seluruh Indonesia”",fake
"[SALAH] Foto “Anies Baswedan Menjadi Nahkoda Kapal”",fake
"[SALAH] Surat Panggilan Tes Calon Karyawan PT Erajaya Swasembada Tbk",fake